date, pm25, pm10, o3, no2, so2, co
2023/4/17, 126, 65, 40, 13, 5, 3
2023/4/18, 86, 73, 63, 18, 10, 7
2023/4/19, 121, 70, 34, 10, 4, 2
2023/4/20, 92, 82, 38, 11, 4, 2
2023/4/21, 93, 75, 44, 19, 6, 5
2023/4/22, 125, 56, 39, 17, 4, 3
2023/4/23, 99, 53, 44, 15, 7, 6
2023/4/24, 108, 52, 35, 11, 7, 7
2023/4/25, 88, 26, 36, 10, 4, 4
2023/4/26, 66, 43, 39, 10, 8, 6
2023/4/27, 86, 45, 36, 12, 7, 7
2023/4/28, 87, 37, 26, 16, 4, 7
2023/4/29, 86, 37, 36, 16, 5, 8
2023/4/30, 73, 48, 50, 14, 8, 6
2023/5/1, 52, 44, 71, 6, 7, 4
2023/5/2, 57, 50, 67, 6, 8, 3
2023/5/3, 72, 38, 51, 10, 8, 4
2023/5/4, 76, 39, 35, 10, 4, 4
2023/5/5, 70, 29, 40, 10, 4, 3
2023/5/6, 37, 38, 37, 17, 4, 3
2023/5/7, 52, 54, 47, 21, 9, 6
2023/5/8, 83, 28, 37, 14, 4, 3
2023/5/9, 31, 50, 42, 19, 8, 6
2023/5/10, 81, 50, 65, 20, 7, 7
2023/5/11, 99, 61, 72, 13, 9, 6
2023/5/12, 102, 43, 47, 10, 7, 5
2023/5/13, 87, 35, 61, 11, 7, 6
2023/5/14, 64, 50, 75, 10, 9, 5
2023/5/15, 86, 53, 75, 10, 7, 5
2023/5/16, 92, 36, 28, 16, 2, 4
2023/5/17, 71, 39, 41, 18, 3, 4
2023/5/18, 68, 41, 62, 16, 7, 6
2023/5/19, 70, 208, 34, 9, 3, 2
2023/5/20, 164, 116, 35, 12, 3, 3
2023/5/21, 98, 63, 43, 23, 9, 6
2023/5/22, 78, 42, 52, 20, 10, 6
2023/5/23, 61, 47, 80, 12, 13, 6
2023/5/24, 58, 42, 66, 8, 8, 4
2023/5/25, 63, 44, 81, 9, 7, 6
2023/5/26, 78, 41, 45, 10, 9, 6
2023/5/27, 78, 52, 70, 19, 11, 7
2023/5/28, 89, 32, 41, 23, 3, 4
2023/5/29, 49, 46, 62, 24, 5, 8
2023/5/30, 69, 46, 60, 20, 10, 7
2023/5/31, 61, 40, 55, 9, 4, 5
2023/6/1, 70, 29, 38, 15, 3, 4
2023/6/2, 43, 22, 40, 14, 3, 3
2023/6/3, 27, 26, 41, 12, 5, 4
2023/6/4, 46, 30, 83, 10, 7, 6
2023/6/5, 58, 29, 64, 8, 7, 5
