date, pm25, pm10, o3, no2, so2, co
2023/12/6, 150, 102, 34, 32, 4, 9
2023/12/7, 143, 67, 37, 24, 4, 7
2023/12/8, 97, 64, 21, 33, 6, 7
2023/12/9, 105, 44, 19, 27, 3, 6
2023/12/10, 88, 18, 19, 14, , 6
2023/12/11, 56, 45, 18, 16, 3, 7
2023/12/12, 100, 48, 17, 21, 3, 7
2023/12/13, 95, 43, 28, 19, 3, 7
2023/12/14, 92, 32, 12, 19, 3, 11
2023/12/15, 76, 39, 23, 10, 3, 9
2023/12/16, 92, 27, 22, 11, 4, 7
2023/12/17, 63, 17, 17, 17, 3, 4
2023/12/18, 44, 16, 19, 15, 3, 4
2023/12/19, 42, 51, 23, 14, 4, 6
2023/12/20, 102, 36, 24, 12, 4, 5
2023/12/21, 73, 40, 18, 17, 4, 7
2023/12/22, 74, 51, 9, 28, 4, 7
2023/12/23, 99, 75, 19, 32, 6, 11
2023/12/24, 144, 82, 21, 35, 7, 11
2023/12/25, 158, 83, 21, 33, 4, 8
2023/12/26, 161, 52, 20, 32, 3, 7
2023/12/27, 123, 62, 10, 41, 4, 9
2023/12/28, 136, 52, 21, 22, 3, 7
2023/12/29, 127, 69, 18, 25, 3, 9
2023/12/30, 141, 116, 29, 21, 4, 14
2023/12/31, 206, 62, 25, 21, 3, 8
2023/7/1, 65, 33, 77, 11, 3, 4
2023/7/2, 95, 37, 76, 12, 3, 4
2023/7/3, 82, 30, 60, 9, 3, 4
2023/7/4, 78, 33, 61, 10, 3, 5
2023/7/5, 67, 43, 77, 10, 3, 5
2023/7/6, 107, 33, 47, 13, 3, 4
2023/7/7, 75, 30, 34, 15, , 5
2023/7/8, 68, 38, 42, 11, 3, 4
2023/7/9, 89, 29, 35, 14, 3, 4
2023/7/10, 62, 40, 98, 7, 3, 4
2023/7/11, 84, 41, 100, 7, 3, 4
2023/7/12, 87, 41, 87, 7, 3, 4
2023/7/13, 80, 41, 101, 7, 3, 3
2023/7/14, 80, 35, 96, 8, 3, 4
2023/7/15, 71, 18, 27, 8, 3, 3
2023/7/16, 45, 16, 23, 3, 3, 2
2023/7/17, 27, 16, 26, 6, 3, 4
2023/7/18, 34, 12, 28, 7, 3, 2
